Time,AltitudeMeters,LatitudeDegrees,LongitudeDegrees,HeartRateBpm,SecondsFromStart,DistanceTraveled
2020-05-07T13:54:47Z,85,59.1060552,24.7089338,,13002.0,318907.37444095593
2020-05-07T13:55:18Z,79,59.1066112,24.7147766,,13033.0,320020.7872996385
2020-05-07T13:55:48Z,87,59.1051907,24.7184403,,13063.0,320881.0023834479
2020-05-07T13:56:19Z,83,59.1038462,24.7192475,,13094.0,321394.43210040167
2020-05-07T13:56:50Z,84,59.1038494,24.719841,,13125.0,321505.6509110322
2020-05-07T13:57:21Z,,59.1037923,24.7206733,,13156.0,321662.9966816961
2020-05-07T13:57:52Z,89,59.1039045,24.718904,,13187.0,321997.0543653663
2020-05-07T13:58:23Z,88,59.1060172,24.7163785,,13218.0,322901.6835227513
2020-05-07T13:58:53Z,86,59.1066026,24.7100456,,13248.0,324107.3608656232
2020-05-07T13:59:24Z,84,59.1025805,24.701656,,13279.0,326258.1018269963
2020-05-07T13:59:55Z,81,59.0997507,24.6991867,,13310.0,327389.71246102185
2020-05-07T14:00:26Z,82,59.098802,24.7081111,,13341.0,329097.68351631257
2020-05-07T14:00:56Z,79,59.0947289,24.7122535,,13371.0,330774.6182226026
2020-05-07T14:01:26Z,80,59.0912358,24.7157652,,13401.0,332209.2675802904
2020-05-07T14:01:57Z,95,59.0915032,24.7170662,,13432.0,332471.9414189018
2020-05-07T14:13:29Z,96,59.0912869,24.7167236,,14124.0,332573.700796054
2020-05-07T14:14:00Z,88,59.0904689,24.7183249,,14155.0,332997.03482903715
2020-05-07T14:14:31Z,82,59.0901412,24.7201154,,14186.0,333353.3463375728
2020-05-07T14:15:02Z,84,59.0890972,24.7254622,,14217.0,334425.63268705684
2020-05-07T14:15:32Z,87,59.0873608,24.7281551,,14247.0,335235.8086502596
2020-05-07T14:22:23Z,92,59.0876065,24.7277063,,14658.0,335358.76650510146
